Year,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1945,225.6671668995912,901.2856306404527,119.1796484483593,178.66717499115143,313.9800342061766,125.040565970826,168.16860465116278
1946,206.64534862054904,763.2086720263353,119.63253111246307,184.2565534005695,321.8547570062668,155.1774501505817,168.16860465116278
1947,217.3909067488176,755.8818687748825,120.35132323689713,185.95115503756207,322.69840342483775,188.1741985615773,168.16860465116278
1948,229.79213442269784,750.5151075065809,121.6089945647227,189.5791307651515,333.7894170529618,192.0477933905291,168.16860465116278
1949,271.851502794806,954.8053197698722,122.96493485411936,198.42012543806027,351.7382791078026,192.2193852444035,153.53682170542635
1950,355.5968235411095,1458.7515675444108,124.4446129035306,199.2725298476397,366.64782215329734,199.21692538467147,168.21705426356587
1951,439.7966859908575,1515.9346289921516,126.33305990434167,198.68405032411223,365.94759479500414,211.26486406095887,168.21705426356587
1952,519.6241325091871,1533.9742510771582,128.50914686119395,203.19019701923781,382.2002112606379,220.57463485627187,167.63565891472868
1953,513.3460090986451,1445.003744514683,130.93904064642769,211.61007420547722,388.3922842067066,245.97726387236864,168.79844961240312
1954,783.1777209412517,2368.361137259565,132.16662034029608,218.57162973953018,412.3091128014694,248.24695027488184,169.76744186046508
1955,1038.4727616197922,3009.950169343181,134.4456257167695,215.65055295509998,420.7395560179244,248.24695027488184,169.718992248062
1956,1115.730066022012,2980.1516626666835,137.96996841090606,210.7859642446429,410.8410091907816,250.51663667739504,169.52519379844958
1957,999.0541542860545,2525.6785341100144,142.4189023844206,225.11311331323367,407.88735633148156,257.32569588493465,169.3313953488372
1958,1435.8401808531264,4277.236597515309,144.93479807083966,220.38794814929315,434.1148922600838,259.02796068681954,170.05813953488368
1959,1608.9516371948275,4822.156540038759,149.84231343069726,214.55509182219998,440.94935006688075,259.3116714871337,170.05813953488368
1960,1614.366327651135,4653.863276791406,154.14724097121606,239.52823965399477,470.33063055720703,261.2976470893327,170.8817829457364
1961,2044.3965961044005,6042.110692258282,157.77353933843332,244.46472698517934,494.31749271562455,263.85104429216005,170.7848837209302
1962,1864.2553972252979,5452.400688693873,162.14760478727297,258.383433912592,526.4250351972767,264.70217669310244,170.687984496124
1963,2285.7994686007432,6539.064145950562,167.2650222660713,262.7350297119295,555.1914289674921,270.3763926993855,170.00968992248062
1964,2661.023871838341,8052.857495738118,173.1958001352489,272.5299621113832,583.8489629928675,273.7809223031553,170.0581395348837
1965,2990.9706741017444,11729.79222829214,180.03543444002773,274.48905762558695,602.4738001576111,278.32029510818177,170.1550387596899
1966,2692.7423569857124,10616.634945827216,188.77745103721907,282.47103728732264,581.7163992115142,281.72482471195156,170.20348837209303
1967,3333.6949185039784,23015.802899058825,196.8825237111291,278.0062407720165,586.9240792401719,288.250173119177,169.33139534883722
1968,3694.2294451636035,36986.39525878753,207.39132529673435,287.1098878858797,615.3614091050417,300.16602673237134,190.45542635658916
1969,3389.7742881722256,24762.391625758253,221.22114892371957,272.7140565018351,602.8993298346757,321.16062595561846,200
1970,3510.489062543298,20057.537216864188,235.35939255143447,318.4065799309402,636.9605353772182,347.5457303848344,181.1046511627907
