Year,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1954,507.452202212303,1534.5560051069858,85.63604499632025,141.62131006376856,267.15158218730943,160.84913837701774,109.9991227182832
1955,670.3573910162257,1942.9901458970398,86.78765801084622,139.20725453087505,271.5967924180992,160.24895795478966,109.55740492591602
1956,699.3525456794498,1867.9936261175133,86.48117638301304,132.12308709540514,257.51990951673326,157.02673337471347,106.26035763511346
1957,608.5787710224297,1538.5295498669245,86.75517759636612,137.12876449535716,248.46659709772436,156.75121822205597,103.14905556901593
1958,859.5168263465794,2560.4220266669486,86.76028107182019,131.92773978909253,259.8680963528086,155.05826739872765,101.79951385716136
1959,946.7641379774739,2837.5277256822883,88.1725251575017,126.25181631430569,259.47021753597033,152.588173222565,100.06823335193945
1960,937.1993614567333,2701.7397579531207,89.48817460702146,139.05500220708922,273.0443264838788,151.69294837719738,99.20319515976718
1961,1178.9355292961814,3484.2843020855203,90.98275327953489,140.9746782261815,285.05645921418653,152.15412271310726,98.48596288459068
1962,1060.9086769475928,3102.84696476665,92.27480372116496,147.04059724079514,299.5774551246952,150.6364613338915,97.1349548308427
1963,1279.7519808451234,3661.029940993152,93.64677283005237,147.097625723516,310.83537323784606,151.37580040764075,95.18343163074832
1964,1475.503878112687,4465.207016967435,96.03486743463316,151.11439632424248,323.73682109544836,151.8080378333843,94.29507455526986
1965,1627.1635254059674,6381.302979575151,97.94381962284159,149.32897422190442,327.76095102423614,151.4132640956989,92.56863503583372
1966,1415.9407067726345,5582.608209709757,99.26596829842728,148.5334232373917,305.8873892275441,148.1410378468502,89.49911119254843
1967,1701.2664356144044,11745.52978544811,100.47398983321247,141.87341609801948,299.52178008936824,147.10114649836152,86.4139720175735
1968,1800.2868455427126,18024.3598392654,101.06678005617088,139.91555263652583,299.88041254902953,146.27812306367952,92.8135092369206
1969,1555.5201429652257,11363.116150907383,101.51529982437341,125.14467692983095,276.66209370056583,147.37613195793492,91.77721055899362
1970,1525.9164953420157,8718.479490995982,102.30448607856349,138.40289597428838,276.8698521766126,151.06891188992745,78.72138886319499
