,w_SP,w_AAA,w_BAA,w_T10
1994-02,5.633590515981911e-16,0.0,0.9999999999999997,2.498001805406602e-16
1994-03,0.0,0.0,1.0,6.909078345173619e-17
1994-05,2.9805685414147383e-16,1.0269562977782698e-15,0.9999999999999993,0.0
1994-06,0.0,2.220446049250313e-16,1.0,0.0
1994-07,0.0,0.0,1.0,0.0
1994-08,4.349581249070293e-16,0.0,1.0,0.0
1994-09,6.583414177595809e-17,1.1934897514720433e-15,0.9999999999999989,0.0
1994-10,9.609312127840183e-17,0.0,1.0,0.0
1994-11,2.7450471917229594e-17,0.0,1.0,0.0
1994-12,0.0,7.771561172376096e-16,1.0,0.0
1995-02,0.0,6.661338147750939e-16,1.0,0.0
1995-03,6.17925959507274e-16,0.0,1.0,2.1510571102112408e-16
1995-04,0.0,3.0531133177191805e-16,1.0,0.0
1995-05,2.722070268472861e-16,0.0,1.0,2.671474153004283e-16
1995-06,0.0,0.0,1.0,1.2646134099545869e-15
1995-07,1.1321770141579747e-15,0.0,1.0,0.0
1995-08,0.0,0.0,1.0,3.885780586188048e-16
1995-09,0.0,4.718447854656915e-16,1.0,0.0
1995-10,0.0,9.43689570931383e-16,1.0,0.0
1995-11,2.91097176362125e-16,1.3877787807814457e-16,1.0,0.0
1995-12,0.0,2.525757381022231e-15,0.999999999999998,5.273559366969494e-16
1996-02,2.914335439641036e-15,0.0,1.0,0.0
1996-03,0.9307554121221857,0.0,0.06924458787781457,3.6678552565051345e-16
1996-04,0.9398742837472798,0.0,0.06012571625272092,8.779683805473527e-17
1996-05,1.8041124150158794e-16,0.0,0.9999999999999989,9.813873111304456e-16
1996-06,0.8518687885777918,0.0,0.14813121142220864,1.929779356325152e-17
1996-07,0.0,1.1370762473066841e-15,0.9999999999999993,0.0
1996-08,0.9423552322782731,6.915367925933875e-16,0.057644767721725804,2.5918683001030327e-16
1996-10,4.163336342344337e-16,0.0,1.0,0.0
1996-11,0.8652685355135192,0.0,0.13473146448648107,6.50539304210223e-16
1996-12,0.0,0.0,1.0,3.540424319494998e-16
1997-02,0.0,0.0,1.0,4.511768371950137e-16
1997-03,5.828670879282072e-16,3.0513171802187535e-16,0.9999999999999993,0.0
1997-04,0.8539676384375413,9.725471985650503e-16,0.14603236156245789,0.0
1997-05,0.8473833387966273,4.3102157623779397e-16,0.15261666120337278,0.0
1997-06,0.9031569055922453,1.1821390424148291e-16,0.09684309440775499,0.0
1997-07,0.872298397483631,1.106320201216654e-15,0.12770160251636756,2.6714750024817137e-16
1997-08,0.8564805442827647,0.0,0.14351945571723523,1.3570445810971632e-16
1997-10,0.8433775487145997,6.897644374551694e-16,0.1566224512854,0.0
1997-11,0.8421117841415526,0.0,0.157888215858448,3.8340104460374736e-16
1997-12,0.7543541874530212,0.0,0.245645812546979,6.813922966501268e-16
1998-02,0.504982938624225,3.0531133177191805e-16,0.4950170613757753,0.0
1998-03,0.749410816119274,1.8439709290314951e-16,0.2505891838807261,0.0
1998-04,0.8519920750581587,1.8054929926980494e-15,0.1480079249418398,0.0
1998-05,0.9433162098666803,0.0,0.056683790133320214,0.0
1998-06,0.937751713555993,0.0,0.0622482864440086,0.0
1998-07,0.9415249393147863,0.0,0.05847506068521837,0.0
1998-08,0.0,4.08006961549745e-15,1.0,0.0
1998-09,0.7121025878684126,0.0,0.2878974121315882,0.0
1998-10,0.6671019277417346,1.1107114532230677e-15,0.33289807225826484,0.0
1998-11,0.6642248550950666,0.1767335463349112,0.15904159857002123,9.799080644812665e-16
1998-12,0.7446911428564112,2.336626861603678e-16,0.2553088571435882,2.2508975137852203e-16
1999-02,0.6896496727071383,0.1658958181643069,0.14445450912855448,2.7481814484358253e-16
1999-03,0.7163257468858992,0.0,0.28367425311410116,0.0
1999-04,0.6758930397303758,0.0,0.32410696026962427,6.633749192824004e-17
1999-05,0.7022124216035706,0.0,0.29778757839643083,0.0
1999-06,0.7060019983642213,0.0,0.2939980016357806,3.4722606683541293e-16
1999-07,0.7053231279855187,0.0,0.29467687201448145,2.7668781136642075e-16
1999-08,0.6813109133715268,5.457069965302961e-16,0.31868908662847256,3.126986069513766e-17
1999-09,0.6808761448408721,7.690996817556975e-16,0.3191238551591272,0.0
1999-10,0.7075593164597732,1.3470430846540853e-16,0.29244068354022673,0.0
1999-11,0.6484276788507819,4.744626104004635e-16,0.351572321149218,0.0
1999-12,0.712387613778864,1.4414416654647261e-15,0.28761238622113644,0.0
2000-01,0.6356102661993599,0.0,0.3643897338006403,6.624798852906704e-17
2000-02,0.7192839916117275,4.6193130686901923e-17,0.2807160083882721,2.597284791835736e-16
2000-03,0.7019290536798438,0.0,0.29807094632016096,0.0
2000-04,0.7008117009240585,1.8699495589854285e-16,0.2991882990759414,0.0
2000-05,0.696750893189066,0.0,0.3032491068109348,0.0
2000-06,0.6996454700766827,0.0,0.3003545299233199,3.4270964226506585e-18
2000-07,0.6260449219735701,1.1126850891062889e-15,0.37395507802642847,2.9719471002948066e-16
2000-08,0.6850755879348919,0.0,0.3149244120651087,0.0
2000-09,0.6753385969542773,1.1043134187265751e-15,0.32466140304572166,0.0
2000-10,0.6800910916398033,5.301218299522941e-16,0.3199089083601962,0.0
2000-11,0.6624953471777604,0.0,0.3375046528222398,4.517935252561214e-17
2000-12,0.6676867415622301,0.0,0.3323132584377702,0.0
2001-02,0.5863195548207675,0.0,0.41368044517923297,6.79134159991043e-16
2001-03,0.5932607515690081,2.506747563295372e-16,0.4067392484309911,6.792998324868601e-16
2001-04,0.6018388513904578,6.991496376520612e-16,0.3981611486095425,0.0
2001-05,0.6534392527179893,3.178880769727499e-16,0.34656074728201064,0.0
2001-06,0.655969787457458,0.0,0.3440302125425442,3.6514348500348087e-16
2001-07,0.6595322241623387,0.0,0.34046777583766297,0.0
2001-08,0.6010391019708694,0.0,0.3989608980291309,0.0
2001-10,0.6135347924064875,0.0,0.38646520759351316,1.1355077346043741e-16
2001-11,6.522560269672795e-16,1.5265566588595902e-16,0.0,0.9999999999999999
2001-12,0.5988529220959204,0.4011470779040886,0.0,1.8692661893186802e-16
2002-02,0.6020268479487423,0.39797315205125805,0.0,4.405045664172824e-16
2002-03,0.606706656397422,0.39329334360257723,8.618725944883701e-16,0.0
2002-04,0.6020824731960818,0.3979175268039164,1.5645979863770476e-15,3.394908052595236e-16
2002-05,0.6172768691874594,0.3827231308125363,2.9438410047242666e-15,1.2908409432461974e-15
2002-06,6.849806708836349e-18,1.0,3.5561831257524545e-16,0.0
2002-07,0.0,1.0,0.0,9.43689570931383e-16
2002-08,0.0,1.0,0.0,7.979727989493313e-16
2002-10,0.62078373461397,0.3792162653860314,0.0,1.5578291097145993e-16
2002-11,0.5934656706048338,0.406534329395165,1.2057780896758263e-15,9.228932263596993e-17
2002-12,1.2085701935105225e-15,0.9999999999999998,0.0,8.135853102331225e-16
2003-02,4.499504604333718e-16,0.0,1.0,9.879250195687916e-16
2003-03,1.1869119698312802e-16,0.0,1.0,0.0
2003-04,0.0,0.48062217672528423,0.5193778232747167,0.0
2003-05,0.0,1.0,8.326672684688674e-16,2.2811613825417287e-16
2003-06,0.0,0.9999999999999992,3.2751579226442118e-15,5.412337245047638e-16
2003-07,1.0351923179354989e-15,1.0,0.0,3.3403184740377712e-15
2003-08,0.599258149158442,0.0,0.40074185084156083,5.788271866301729e-16
2003-10,0.5865743009212887,0.20970683518196093,0.20371886389675042,0.0
2003-11,0.5930152967427581,0.0,0.4069847032572433,0.0
2003-12,0.5938256535669064,0.0,0.40617434643309425,1.1481594954460596e-16
2004-02,0.5974661510809706,8.199352730572028e-16,0.40253384891902855,6.5658370962381475e-18
2004-03,0.6163643479598544,0.0,0.38363565204014605,0.0
2004-04,0.5997756266735301,0.0,0.40022437332646965,3.77705156177395e-16
2004-05,0.6029759136087687,8.368853551575999e-16,0.39702408639123116,0.0
2004-06,0.6067975330365007,7.915563855705694e-16,0.39320246696349886,0.0
2004-07,0.6177402484246521,0.0,0.38225975157534836,3.9260574805511625e-16
2004-08,0.6212934166407674,0.0,0.37870658335923385,1.7996039571524904e-16
2004-09,0.6245777466579593,0.0,0.375422253342042,4.9259230164080136e-17
2004-10,0.0,0.0,0.9999999999999994,3.878841692284141e-15
2004-11,0.5993331409080231,0.0,0.40066685909197747,6.741987993536544e-17
2004-12,0.6019611851995155,6.985945730501517e-16,0.39803881480048364,1.5639604519198578e-16
2005-01,0.6233429657713774,0.0,0.3766570342286226,2.6202632563640654e-16
2005-02,3.136845217711225e-16,6.38378239159465e-16,0.9999999999999994,0.0
2005-03,0.0,2.55351295663786e-15,1.0,0.0
2005-04,0.0,0.0,1.0,4.417371688034859e-15
2005-05,0.6309064478420496,2.5110122314764283e-16,0.36909355215794964,4.058168731613243e-16
2005-06,0.6451943784842911,0.0,0.35480562151571,5.7538826896616365e-16
2005-07,0.6373158732548425,1.2221290463343838e-15,0.36268412674515604,8.980007245260291e-17
2005-08,0.0,2.3314683517128287e-15,0.9999999999999978,0.0
2005-09,0.6364412566936306,5.1663800110326664e-17,0.36355874330636956,0.0
2005-10,0.6416318861663441,0.0,0.35836811383365824,0.0
2005-11,3.8018778608525896e-15,0.0,0.9999999999999996,0.0
2005-12,0.0,1.3575803614418738e-15,1.0,2.7084906620987047e-16
2006-02,6.938893903907228e-16,0.0,1.0,2.0534481420267188e-17
2006-03,0.6493631934500047,1.7493925532732505e-15,0.35063680654999396,0.0
2006-04,0.6572986838442133,2.233456475320139e-17,0.34270131615578686,0.0
2006-05,0.6684455954992519,1.6788580027790522e-15,0.33155440450074675,0.0
2006-06,0.6297905256085888,2.7403606926366336e-16,0.3702094743914106,3.00771563579295e-16
2006-07,0.6745236919544945,6.91284835915279e-16,0.3254763080455043,5.060257405101842e-16
2006-08,6.4117864826273595e-15,0.0,0.9999999999999984,1.4155343563970746e-15
2006-09,1.165078826307745e-14,0.0,0.9999999999999983,0.0
2006-10,0.6407325008468372,0.0,0.3592674991531626,4.415135726694018e-16
2006-11,0.6433937394149417,1.3225077783415847e-15,0.3566062605850568,1.744959206116931e-16
2006-12,0.6468958907893289,0.0,0.35310410921067137,0.0
2007-02,0.4844751165925342,0.0,0.5155248834074662,0.0
2007-03,0.5137164967934422,1.3877787807814457e-17,0.48628350320655866,0.0
2007-04,0.6546600599943806,4.37527932204266e-16,0.34533994000561874,2.1903858125704471e-16
2007-05,0.6570108657516682,7.605915920239709e-18,0.34298913424833183,0.0
2007-06,0.6570950558356666,0.0,0.3429049441643347,4.1284056271348545e-16
2007-07,0.6581085811652395,0.0,0.3418914188347615,0.0
2007-08,0.6614003031308372,0.0,0.33859969686916364,0.0
2007-10,0.6644056636506238,4.3784469303997546e-16,0.33559433634937613,0.0
2007-11,0.0,1.6601303665098044e-15,0.9999999999999982,5.773647635192382e-16
2007-12,0.6656114913689356,1.4164753906954907e-15,0.3343885086310626,4.518421669395958e-16
2008-02,0.35870291783941954,0.0,0.6412970821605812,0.0
2008-03,0.0,0.5427636397054968,0.45723636029450404,0.0
2008-04,1.7563312546984359e-15,0.9999999999999999,0.0,1.1136924715771102e-15
2008-05,0.6701526465960042,0.0,0.32984735340399723,0.0
2008-06,0.0,0.4751945025018576,0.5248054974981431,5.204170427930421e-18
2008-07,0.0,1.0,0.0,1.6653345369377348e-16
2008-08,0.0,1.0,0.0,1.1206313654810174e-15
2008-10,3.614020957031586e-16,0.9999999999999989,5.967448757360216e-16,6.418476861114186e-17
2008-11,0.0,0.9999999999999998,4.85722573273506e-17,4.787836793695988e-16
2008-12,0.0,1.0,0.0,0.0
2009-02,3.1213876998762573e-17,1.0,0.0,0.0
2009-03,0.0,0.9999999999999991,6.717716660720185e-16,2.5673907444456745e-16
2009-04,0.0,0.9999999999999997,7.22078646875346e-16,5.4643789493269423e-17
2009-05,7.647006129584852e-16,0.9999999999999991,7.91033905045424e-16,0.0
2009-06,7.597439013273041e-18,1.0,0.0,3.5475095083725705e-16
2009-07,0.0,0.9999999999999994,3.2751579226442118e-15,0.0
2009-08,4.286086184212327e-15,1.235990476633475e-15,0.9999999999999996,0.0
2009-09,0.0,0.0,1.0,1.2073675392798577e-15
2009-10,0.0,9.43689570931383e-16,1.0,0.0
2009-11,0.0,0.0,1.0,1.1102230246251565e-16
2009-12,8.94046011113786e-16,0.0,1.0,3.9898639947466563e-16
2010-02,0.0,0.0,1.0,4.996003610813204e-16
2010-03,8.521113753643806e-16,0.0,1.0,0.0
2010-04,2.390467747978741e-15,8.881784197001252e-16,0.9999999999999979,0.0
2010-05,2.9243046084440013e-16,3.885780586188048e-16,0.9999999999999997,0.0
2010-06,0.0,1.6653345369377348e-15,1.0,0.0
2010-07,0.0,1.0824674490095276e-15,0.9999999999999999,1.942890293094024e-16
2010-08,1.12936660802952e-15,0.0,0.9999999999999997,1.901256930084171e-15
2010-09,6.790680218640022e-17,0.0,1.0,0.0
2010-10,2.098850881674099e-15,0.0,1.0,0.0
2010-11,9.588982696893893e-16,0.0,1.0,0.0
2010-12,0.0,0.0,1.0,3.7903707991452266e-16
2011-01,0.0,0.0,1.0,2.462039289174754e-16
2011-02,0.0,1.787937268898023e-17,1.0,0.0
2011-03,0.526439635349427,3.8403775713719344e-17,0.473560364650573,4.689961671880829e-17
2011-04,0.5316088317127879,1.0039425367502966e-15,0.4683911682872114,0.0
2011-05,8.326672684688674e-17,1.4007250744011898e-15,0.9999999999999986,2.4096990561378256e-17
2011-06,0.0,0.0,0.9014512324268975,0.09854876757310287
2011-07,0.0,0.0,0.9140298875007214,0.08597011249927886
2011-08,9.140078423936979e-16,0.0,0.7414121637131439,0.2585878362868556
2011-09,1.6985153585805275e-15,0.38482947671206796,0.49097926054705726,0.12419126274087296
2011-10,0.035005992003843765,0.6912594187935349,0.25210068877497954,0.021633900427641798
2011-11,0.005508721167053879,0.5918624201407271,0.35677887324217233,0.0458499854500466
2011-12,0.0058340524789896155,0.6408175652729717,0.33026006398746655,0.023088318260572078
2012-02,0.006803978549796156,0.5891172942338405,0.4040787272163633,6.289346729664299e-17
2012-03,0.01307662342824974,0.483606390438866,0.5033169861328841,6.213664335827127e-17
2012-04,0.0,0.46768688793158325,0.532313112068416,6.826407928511857e-16
2012-05,0.0,0.0,1.0,6.948868563894095e-15
2012-06,0.0,0.49731801143800514,0.5026819885619949,2.220446049250313e-16
2012-07,0.0,0.9999999999999987,6.938893903907228e-17,1.5117030890965388e-15
2012-08,0.0,1.0,0.0,1.734723475976807e-16
2012-10,0.0,0.0,1.0,1.1534176391420824e-14
2012-11,0.0,0.22017187377864164,0.7798281262213589,0.0
2012-12,0.0,0.20689832006036957,0.7931016799396319,0.0
2013-02,0.0,0.18985291331910575,0.8101470866808943,1.1090032971811103e-16
2013-03,1.441026764506678e-15,0.15890318550594895,0.8410968144940494,3.0978366573342075e-16
2013-04,7.197592135160852e-16,0.15530898968428608,0.844691010315713,2.2321012226045323e-17
2013-05,0.006127022388535128,0.13303657023627044,0.8608364073751943,5.515878552520004e-17
2013-06,0.05247480446706524,0.14023928215741605,0.8072859133755188,0.0
2013-07,0.0,0.10693513426351163,0.8930648657364898,1.7218875391077057e-15
2013-08,0.0,0.12762205415559635,0.8723779458444026,1.0748537556278927e-15
2013-10,0.002542181692790817,0.10381804678766332,0.8936397715195461,0.0
2013-11,0.028981723498987526,0.0,0.9710182765010129,6.44330506733612e-16
2013-12,0.03714637756537732,0.0,0.9628536224346232,5.741576505058112e-16
2014-02,0.02382383532353658,8.926156860599103e-17,0.9761761646764632,2.8686169325679093e-16
2014-03,0.32687219277048746,1.3851958565546355e-16,0.6731278072295126,0.0
2014-04,0.0016907628576486628,2.5843309739785235e-16,0.998309237142351,1.9733396911292637e-16
2014-05,8.881784197001252e-16,8.851339347981917e-16,0.9999999999999989,0.0
2014-06,1.4432899320127035e-15,5.829023266059624e-16,0.9999999999999989,0.0
2014-07,4.718447854656915e-16,0.0,0.9999999999999996,3.8203800902813806e-16
2014-08,0.0,4.685079578291314e-16,1.0,0.0
2014-10,5.218048215738236e-15,1.2383903821195094e-15,0.9999999999999936,0.0
2014-11,0.4306754540712031,0.0,0.5693245459287977,3.121249611638906e-16
2014-12,0.42227248468088036,0.0,0.577727515319122,5.1775791780186506e-17
2015-02,0.5203777343625278,0.15384270434632294,0.3257795612911498,0.0
2015-03,0.4534866297851688,1.2945834653959644e-15,0.5465133702148296,1.1824385887517188e-16
2015-04,0.46205931520275284,1.0802389745746118e-16,0.5379406847972472,0.0
2015-05,0.4624378173227072,2.1000709625643518e-15,0.5375621826772911,0.0
2015-06,0.4675178371561953,0.014147678182975933,0.5183344846608287,1.0197599011754665e-16
2015-07,0.5442394568024308,0.23552474322628664,0.22023579997128276,0.0
2015-08,0.531929950130359,0.1974798650554676,0.2705901848141724,9.554679875794277e-16
2015-09,0.5767608704872637,0.42323912951273573,2.1887456436319774e-15,0.0
2015-10,0.5665437628497386,0.4334562371502607,2.1507895277318966e-16,5.637771887585818e-16
2015-11,0.5761411234292768,0.42385887657071325,9.643541113622312e-15,2.291767017502513e-16
2015-12,0.5755164539504372,0.4244835460495684,0.0,0.0
2016-02,0.5804341414364445,0.4195658585635559,6.398430434008756e-16,0.0
2016-03,0.5753381404439654,0.4246618595560344,3.3162489956120407e-16,0.0
2016-04,0.5781426150967406,0.4052571192977703,0.01660026560548958,0.0
2016-05,0.4886446909616767,9.572030141110858e-16,0.5113553090383226,0.0
2016-06,0.49547160871211987,0.0,0.5045283912878813,3.234219618655591e-17
2016-07,0.49330904168713174,0.0,0.5066909583128711,4.801213493576917e-16
2016-08,0.4877898349492255,0.0,0.512210165050775,6.043265061422682e-17
2016-09,0.4939322694968216,6.450068566640577e-16,0.5060677305031778,0.0
2016-10,0.5092357640216453,0.0,0.49076423597835755,4.953419406618763e-16
2016-11,0.5153266382238894,0.0,0.48467336177611187,1.4069509794354665e-16
2016-12,0.5217971844538402,0.0,0.47820281554616084,5.3027521203131445e-16
2017-02,0.5263656885941226,7.183773921179109e-16,0.4736343114058768,0.0
2017-03,0.5321706350240377,0.0,0.46782936497596245,3.0413946922926174e-18
2017-04,0.5380626997938419,1.6073411338464627e-15,0.4619373002061568,0.0
2017-05,0.5440942870160828,0.0,0.4559057129839185,3.66097114614001e-16
2017-06,0.549622630027117,1.5027756579976655e-15,0.45037736997288186,0.0
2017-07,0.5553888613607363,6.646247598626166e-16,0.44461113863926327,0.0
2017-08,0.561153099181114,0.0,0.43884690081888644,0.0
2017-09,0.5666077770684572,7.909027602319405e-16,0.4333922229315423,0.0
2017-10,0.5719762777243443,0.0,0.4280237222756567,2.0333526475682094e-17
2017-11,0.5763624810455659,0.0,0.42363751895443524,4.289096234966795e-16
2017-12,0.5817368324405356,9.312551373409575e-16,0.4182631675594639,0.0
2018-02,0.5706815693737526,1.0203403238281165e-16,0.4293184306262473,1.3558802467802855e-16
2018-03,0.5710394285244323,0.0,0.42896057147556876,1.9588379547036245e-16
2018-04,0.5762795897849083,8.822356063812962e-16,0.4237204102150914,0.0
2018-05,0.581617413497632,4.751874376957318e-16,0.41838258650236726,1.6713610156373666e-16
2018-06,0.6643936888043916,0.33560631119560924,0.0,0.0
2018-07,0.611730526064616,0.06586826081572732,0.32240121311965647,1.154844190890921e-16
2018-08,0.6202760221836625,0.10555443563247101,0.2741695421838664,4.4520051707686026e-17
2018-10,0.584732610487425,0.0,0.41526738951257747,6.225952536725068e-18
2018-11,0.6141557996324001,0.09933592874865044,0.2865082716189495,1.1502029797355595e-16
2018-12,0.5827723993329947,0.035258602477504945,0.38196899818950014,2.2735687793285506e-16
2019-02,0.5780855430863746,0.00929244407973296,0.4126220128338921,2.0407395391608407e-16
2019-03,7.798590053888061e-17,0.999999999999999,1.2828280104848488e-15,0.0
2019-04,0.6576866263914919,0.342313373608509,0.0,6.200461435214966e-16
2019-05,3.1363800445660672e-15,0.522174577991672,0.4778254220083242,6.245004513516506e-16
